ride_type,ride_category,status,tip,surge,duration,distance,pickup_address,dropoff_address,pickup_zip,dropoff_zip,earnings,ride_start,ride_end
UberX,TRIP,COMPLETED,0.0,1.25,1634,6.0,"W Sheridan Rd, Chicago, IL 60613-3215, US","W Lake St, Chicago, IL 60607, US",60613,60607,23.39,2023-01-14 20:16:29,2023-01-14 20:43:43
UberX,TRIP,COMPLETED,0.0,0.0,1268,9.2,"N Southport Ave, Chicago, IL 60657-3203, US","S Wentworth Ave, Chicago, IL 60616-2014, US",60657,60616,17.37,2023-01-13 23:07:44,2023-01-13 23:28:52
UberX,TRIP,COMPLETED,0.0,0.0,1668,5.2,"W Belmont Ave, Chicago, IL 60657, US","W Belmont Ave, Chicago, IL 60657, US",60657,60657,10.33,2023-01-13 22:35:30,2023-01-13 23:03:18
UberXL,TRIP,COMPLETED,0.0,0.0,1058,3.4,"N Dearborn St, Chicago, IL 60610-2712, US","W Belmont Ave, Chicago, IL 60657, US",60610,60657,12.27,2023-01-13 22:13:24,2023-01-13 22:31:02
UberX,TRIP,COMPLETED,5.0,0.0,1123,3.7,"N Ashland Ave, Chicago, IL 60657-4003, US","W Delaware Pl, Chicago, IL 60610-3306, US",60657,60610,11.68,2023-01-13 21:48:47,2023-01-13 22:07:30
UberXL,TRIP,COMPLETED,0.0,0.0,570,1.2,"W Buckingham Pl, Chicago, IL 60657-2422, US","W Oakdale Ave, Chicago, IL 60657-4221, US",60657,60657,7.0,2023-01-13 21:30:35,2023-01-13 21:40:05
UberX,TRIP,COMPLETED,3.0,0.0,1262,4.4,"W Monroe St, Chicago, IL 60607, US","N Halsted St, Chicago, IL 60657-5120, US",60607,60657,13.86,2023-01-13 21:06:37,2023-01-13 21:27:39
UberX,TRIP,COMPLETED,0.0,0.0,867,2.1,"N State St, Chicago, IL 60654, US","W Randolph St, Chicago, IL 60607-1604, US",60654,60607,8.14,2023-01-13 20:11:18,2023-01-13 20:25:45
UberX,TRIP,COMPLETED,0.0,4.25,1339,6.2,"N Paulina St, Chicago, IL 60613-3624, US","E Grand Ave, Chicago, IL 60611, US",60613,60611,21.8,2023-01-13 19:33:25,2023-01-13 19:55:44
UberX,TRIP,COMPLETED,0.0,1.5,676,2.1,"N Drake Ave, Chicago, IL 60618-2219, US","W Byron St, Chicago, IL 60613-2738, US",60618,60613,11.15,2023-01-13 19:27:46,2023-01-13 19:39:02
UberX,TRIP,COMPLETED,3.0,0.0,1530,5.8,"7433 N Clark St, Cook, IL 60626, US","N Albany Ave, Chicago, IL 60625-4502, US",60626,60625,12.26,2023-01-13 18:59:35,2023-01-13 19:25:05
UberX,TRIP,COMPLETED,5.0,0.0,655,2.8,"W Devon Ave, Chicago, IL 60660-1199, US","Brummel St, Evanston, IL 60202-3703, US",60660,60202,9.37,2023-01-13 18:41:19,2023-01-13 18:52:14
UberX,TRIP,COMPLETED,0.0,1.0,877,2.9,"Greenleaf St, Evanston, IL 60202, US","W Loyola Ave, Chicago, IL 60626-4813, US",60202,60626,5.82,2023-01-13 18:17:54,2023-01-13 18:32:31
UberX,TRIP,COMPLETED,3.0,0.0,1406,7.0,"S Financial Pl, Chicago, IL 60605, US","W Roscoe St, Chicago, IL 60657-2207, US",60605,60657,21.7,2023-01-10 19:57:18,2023-01-10 20:20:44
UberX,TRIP,COMPLETED,0.0,0.0,373,1.3,"N Claremont Ave, Chicago, IL 60645-1804, US","N Greenview Ave, Chicago, IL 60626-1712, US",60645,60626,3.15,2023-01-10 17:45:13,2023-01-10 17:51:26
UberX Share,CT,COMPLETED,0.0,0.0,4440,21.3,"W Howard St, Chicago, IL 60626-1715, US","S Stewart Ave, Chicago, IL 60620-1068, US",60626,60620,31.84,2023-01-10 17:25:10,2023-01-10 18:39:10
Comfort,TRIP,COMPLETED,5.0,1.5,899,7.3,"N Michigan Ave, Chicago, IL 60611, US","N Sheridan Rd, Chicago, IL 60660, US",60611,60660,18.63,2023-01-20 19:36:12,2023-01-20 19:51:11
UberX,TRIP,COMPLETED,3.0,2.0,858,4.1,"1200 W Fullerton Ave, Chicago, IL 60614, US","E Chestnut St, Chicago, IL 60611-2300, US",60614,60611,11.36,2023-01-20 19:09:25,2023-01-20 19:23:43
UberX,TRIP,COMPLETED,1.0,0.0,2097,7.3,"W Loyola Ave, Chicago, IL 60626, US","N Sheffield Ave, Chicago, IL 60614, US",60626,60614,10.4,2023-01-20 18:41:07,2023-01-20 19:16:04
UberXL,TRIP,COMPLETED,4.88,1.75,772,3.2,"Chicago Ave, Evanston, IL 60202, US","Chicago, IL 60626, US",60202,60626,16.72,2023-01-20 18:21:32,2023-01-20 18:34:24
UberX,TRIP,COMPLETED,0.0,0.0,394,1.0,"W Birchwood Ave, Chicago, IL 60645-2115, US","N Marshfield Ave, Chicago, IL 60626-1108, US",60645,60626,3.11,2023-01-20 18:08:38,2023-01-20 18:15:12
UberX,TRIP,COMPLETED,0.0,0.0,2952,14.6,"W Zemke Blvd, Chicago, IL 60666, US","W Hawthorne Pl, Chicago, IL 60657-2923, US",60666,60657,22.13,2023-01-17 19:18:24,2023-01-17 20:07:36
Comfort,TRIP,COMPLETED,6.06,0.0,2169,12.6,"N Oakley Ave, Chicago, IL 60618-1620, US","Terminal 3, O'Hare International Airport (ORD), Chicago, IL 60666, US",60618,60666,28.69,2023-01-17 18:32:12,2023-01-17 19:08:21
UberX,TRIP,COMPLETED,3.0,0.0,331,1.1,"N Wolcott Ave, Chicago, IL 60640-2612, US","W Montrose Ave, Chicago, IL 60618, US",60640,60618,6.14,2023-01-17 18:24:21,2023-01-17 18:29:52
UberX,TRIP,COMPLETED,5.0,0.0,1105,3.2,"N Kedzie Ave, Chicago, IL 60618-5619, US","W Winnemac Ave, Chicago, IL 60625-1816, US",60618,60625,11.17,2023-01-17 17:59:23,2023-01-17 18:17:48
UberX,TRIP,COMPLETED,0.0,0.0,704,1.6,"N Greenview Ave, Chicago, IL 60626-4217, US","N Bell Ave, Chicago, IL 60645, US",60626,60645,3.62,2023-01-26 18:14:00,2023-01-26 18:25:44
UberX,TRIP,COMPLETED,4.2,0.0,1590,4.7,"Ridge Ave, Evanston, IL 60201-1715, US","W Farwell Ave, Chicago, IL 60626-3410, US",60201,60626,11.86,2023-01-26 17:36:39,2023-01-26 18:03:09
UberX,TRIP,COMPLETED,3.0,0.0,249,1.0,"Brown Ave, Evanston, IL 60201-3303, US","Benson Ave, Evanston, IL 60201, US",60201,60201,5.92,2023-01-26 17:31:54,2023-01-26 17:36:03
UberX,TRIP,COMPLETED,0.0,0.0,552,2.4,"Hinman Ave, Evanston, IL 60202-3025, US","Church St, Evanston, IL 60201, US",60202,60201,4.48,2023-01-26 17:11:24,2023-01-26 17:20:36
UberX,TRIP,COMPLETED,0.0,0.0,528,1.6,"Main St, Evanston, IL 60202-1603, US","Dobson St, Evanston, IL 60202, US",60202,60202,3.54,2023-01-26 17:07:56,2023-01-26 17:16:44
UberX,TRIP,COMPLETED,0.0,1.0,804,2.7,"Church St, Evanston, IL 60201, US","Asbury Ave, Evanston, IL 60202-3801, US",60201,60202,5.82,2023-01-26 16:37:05,2023-01-26 16:50:29
UberXL,TRIP,COMPLETED,0.0,0.0,416,0.8,"E Pearson St, Chicago, IL 60611-2069, US","E Ohio St, Chicago, IL 60611, US",60611,60611,5.42,2023-01-26 12:59:21,2023-01-26 13:06:17
UberX,TRIP,COMPLETED,2.0,0.0,606,3.2,"N Paulina St, Chicago, IL 60622-1405, US","N Dearborn St, Chicago, IL 60654, US",60622,60654,7.16,2023-01-26 12:42:44,2023-01-26 12:52:50
UberX,TRIP,COMPLETED,0.0,0.0,773,3.1,"N Central Ave, Chicago, IL 60644-1125, US","W North Ave, Chicago, IL 60639, US",60644,60639,5.25,2023-01-26 11:48:30,2023-01-26 12:01:23
UberX,TRIP,COMPLETED,0.0,0.0,800,4.0,"W Franklin Blvd, Chicago, IL 60624, US","W Erie St, Chicago, IL 60644, US",60624,60644,6.03,2023-01-26 11:32:22,2023-01-26 11:45:42
UberX,TRIP,COMPLETED,3.0,0.0,551,1.8,"S Albany Ave, Chicago, IL 60612-3301, US","W Chicago Ave, Chicago, IL 60651, US",60612,60651,6.66,2023-01-26 11:17:21,2023-01-26 11:26:32
UberX,TRIP,COMPLETED,0.0,0.0,436,2.0,"S 13th Ave, Broadview, IL 60155-3130, US","Des Plaines Ave, Forest Park, IL 60130-2507, US",60155,60130,3.73,2023-01-26 10:53:27,2023-01-26 11:00:43
UberX,TRIP,COMPLETED,0.0,3.5,3600,29.3,"W Sherwin Ave, Chicago, IL 60626-1915, US","S Finley Rd, Lombard, IL 60148, US",60626,60148,43.94,2023-01-26 09:18:31,2023-01-26 10:18:31
UberX,TRIP,COMPLETED,0.0,0.0,1368,20.5,"Spruce St, Winnetka, IL 60093-2144, US","N Morgan St, Chicago, IL 60607, US",60093,60607,16.79,2023-02-11 00:39:47,2023-02-11 01:02:35
UberXL,TRIP,COMPLETED,5.0,0.0,498,2.3,"White Oak Ln, Winnetka, IL 60093-3632, US","Meadowood Ln, Northfield, IL 60093-3237, US",60093,60093,13.02,2023-02-11 00:09:11,2023-02-11 00:17:29
UberX,TRIP,COMPLETED,0.0,0.0,1171,15.7,"W Kennedy Rd, Lake Forest, IL 60045-1049, US","Laurel Ln, Wilmette, IL 60091, US",60045,60091,12.96,2023-02-10 23:48:06,2023-02-11 00:07:37
UberX,TRIP,COMPLETED,0.0,0.0,257,1.3,"S Campus, Lake Forest, IL 60045, US","N Western Ave, Lake Forest, IL 60045, US",60045,60045,5.39,2023-02-10 23:28:08,2023-02-10 23:32:25
Comfort,TRIP,COMPLETED,0.0,0.0,2763,34.7,"S Dr Martin Luther King Jr Dr, Chicago, IL 60616, US","Devonshire Ct, Lake Forest, IL 60045-3769, US",60616,60045,41.56,2023-02-10 22:30:14,2023-02-10 23:16:17
UberXL,TRIP,COMPLETED,5.83,0.0,872,5.2,"N Michigan Ave, Chicago, IL 60611-2808, US","E Cermak Rd, Chicago, IL 60616-2124, US",60611,60616,19.42,2023-02-10 22:14:36,2023-02-10 22:29:08
UberX,TRIP,COMPLETED,1.0,0.0,642,1.8,"N Green St, Chicago, IL 60607, US","W Chicago Ave, Chicago, IL 60654-3210, US",60607,60654,4.88,2023-02-10 22:01:42,2023-02-10 22:12:24
UberX,TRIP,COMPLETED,0.0,0.0,859,2.6,"N Wells St, Chicago, IL 60610-1907, US","N Green St, Chicago, IL 60607, US",60610,60607,4.7,2023-02-10 21:44:20,2023-02-10 21:58:39
UberXL,TRIP,COMPLETED,0.0,0.0,799,2.3,"N Milwaukee Ave, Chicago, IL 60622-9214, US","N Wells St, Chicago, IL 60610, US",60622,60610,8.46,2023-02-10 21:25:59,2023-02-10 21:39:18
UberX,TRIP,COMPLETED,5.0,1.0,835,1.8,"N Paulina St, Chicago, IL 60622-3861, US","W Madison St, Chicago, IL 60612, US",60622,60612,14.11,2023-02-10 19:58:01,2023-02-10 20:11:56
UberX,TRIP,DRIVER_CANCELED,0.0,0.0,0,0.0,"1758 W North Ave, Chicago, IL 60622-2147, US","N Damen Ave, Chicago, IL 60622, US",60622,60622,3.78,2023-02-10 19:40:06,2023-02-10 19:40:06
UberX Share,CT,COMPLETED,2.0,6.25,1452,3.8,"N Sheridan Rd, Chicago, IL 60657-5928, US","W North Ave, Chicago, IL 60622, US",60657,60622,20.64,2023-02-10 19:05:07,2023-02-10 19:29:19
UberX,TRIP,COMPLETED,0.0,0.0,429,1.7,"Harrison St, Evanston, IL 60201-2222, US","Ridge Rd, Wilmette, IL 60091-2441, US",60201,60091,3.51,2023-02-10 17:55:35,2023-02-10 18:02:44
UberX,TRIP,COMPLETED,0.0,0.0,1726,6.2,"Oakton St, Skokie, IL 60076-3222, US","Golf Rd, Skokie, IL 60203, US",60076,60203,10.47,2023-02-10 17:22:11,2023-02-10 17:50:57
UberX Share,CT,COMPLETED,0.0,3.25,531,2.2,"Gross Point Rd, Skokie, IL 60077-2049, US","W Touhy Ave, Niles, IL 60714, US",60077,60714,7.52,2023-02-10 16:54:42,2023-02-10 17:03:33
UberX,TRIP,COMPLETED,0.0,1.25,1537,10.3,"W Chicago Ave, Chicago, IL 60654, US","N Wolcott Ave, Chicago, IL 60626-1520, US",60654,60626,16.71,2023-02-09 23:10:42,2023-02-09 23:36:19
UberX,TRIP,COMPLETED,0.0,0.0,676,2.9,"S Peoria St, Chicago, IL 60607, US","N Fairbanks Ct, Chicago, IL 60611, US",60607,60611,5.16,2023-02-09 22:40:20,2023-02-09 22:51:36
UberX,TRIP,COMPLETED,0.0,0.0,922,5.6,"N Milwaukee Ave, Chicago, IL 60647, US","W Ogden Ave, Chicago, IL 60612, US",60647,60612,13.21,2023-02-09 22:22:05,2023-02-09 22:37:27
Comfort,TRIP,COMPLETED,0.0,2.5,612,3.5,"W Randolph St, Chicago, IL 60607, US","W Concord Pl, Chicago, IL 60647-5407, US",60607,60647,9.58,2023-02-09 22:07:50,2023-02-09 22:18:02
Delivery,CT,COMPLETED,4.0,0.0,2404,6.7,Tac Quick,"N Peoria St, Chicago, IL 60607-2609, US",,60607,9.27,2023-02-09 21:18:25,2023-02-09 21:58:29
UberX,TRIP,COMPLETED,0.0,0.0,601,2.0,"W Wrightwood Ave, Chicago, IL 60614, US","N Sheffield Ave, Chicago, IL 60613-4303, US",60614,60613,3.6,2023-02-09 21:06:32,2023-02-09 21:16:33
UberX,TRIP,COMPLETED,0.0,0.0,1099,6.4,"N Clark St, Chicago, IL 60626-2406, US","N Clark St, Chicago, IL 60614, US",60626,60614,8.24,2023-02-09 20:34:39,2023-02-09 20:52:58
UberX Share,CT,COMPLETED,0.0,0.0,732,3.0,"N Lincoln Ave, Chicago, IL 60659, US","W Jarvis Ave, Chicago, IL 60645-2302, US",60659,60645,6.49,2023-02-09 20:16:18,2023-02-09 20:28:30
Delivery,TRIP,COMPLETED,5.0,0.0,1617,2.9,Chick-fil-A (3720 W. Touhy Ave),"N Spaulding Ave, Chicago, IL 60625-4609, US",,60625,9.02,2023-02-09 19:41:41,2023-02-09 20:08:38
UberX,TRIP,COMPLETED,0.0,0.0,681,2.9,"Davis St, Evanston, IL 60201, US","Central Park Ave, Skokie, IL 60076, US",60201,60076,4.46,2023-02-09 19:32:12,2023-02-09 19:43:33
UberX,TRIP,COMPLETED,0.0,0.0,704,2.4,"Ridge Ave, Evanston, IL 60202-2683, US","Sheridan Rd, Evanston, IL 60208, US",60202,60208,4.18,2023-02-09 19:14:00,2023-02-09 19:25:44
Comfort,TRIP,COMPLETED,9.62,0.0,2227,14.8,"N Magnolia Ave, Chicago, IL 60640-5512, US","Terminal 3, O'Hare International Airport (ORD), Chicago, IL 60666, US",60640,60666,33.62,2023-02-19 13:15:17,2023-02-19 13:52:24
UberX,TRIP,COMPLETED,0.0,1.5,499,1.7,"W Elmdale Ave, Chicago, IL 60660-2406, US","W Carmen Ave, Chicago, IL 60640-2805, US",60660,60640,5.07,2023-02-19 13:13:17,2023-02-19 13:21:36
UberX,TRIP,COMPLETED,0.0,2.25,1115,7.7,"S Loomis St, Chicago, IL 60608-3019, US","S Blackstone Ave, Chicago, IL 60615-4103, US",60608,60615,14.36,2023-02-18 14:33:10,2023-02-18 14:51:45
Comfort,TRIP,COMPLETED,4.09,0.0,872,2.7,"S Dr Martin Luther King Jr Dr, Chicago, IL 60616, US","W 14th Pl, Chicago, IL 60608-2243, US",60616,60608,11.86,2023-02-18 14:12:33,2023-02-18 14:27:05
UberX,TRIP,COMPLETED,0.0,2.0,732,2.5,"S Wells St, Chicago, IL 60607, US","S Dr Martin Luther King Jr Dr, Chicago, IL 60616, US",60607,60616,6.32,2023-02-18 13:56:44,2023-02-18 14:08:56
UberX,TRIP,CANCELED,0.0,1.5,1427,3.3,"430 S Damen Ave, Chicago, IL 60612, US","570 W Roosevelt Rd, Chicago, IL 60607-4917, US",60612,60607,8.27,2023-02-18 13:25:08,2023-02-18 13:48:55
UberX,TRIP,COMPLETED,0.0,0.0,873,4.2,"W Hubbard St, Chicago, IL 60654-5711, US","W Lexington St, Chicago, IL 60612-3447, US",60654,60612,5.39,2023-02-18 13:09:06,2023-02-18 13:23:39
UberX,TRIP,COMPLETED,0.0,0.0,734,1.7,"N Michigan Ave, Chicago, IL 60611, US","W Madison St, Chicago, IL 60606, US",60611,60606,8.36,2023-02-18 12:09:08,2023-02-18 12:21:22
UberX,TRIP,CANCELED,0.0,0.0,0,0.0,"24 S Michigan Ave, Chicago, IL 60603, US","25 N Michigan Ave, Chicago, IL 60602, US",60603,60602,0.0,2023-02-18 12:05:39,2023-02-18 12:05:39
UberX,TRIP,COMPLETED,5.0,4.0,620,1.1,"S Wabash Ave, Chicago, IL 60603, US","Michigan Ave, Chicago, IL 60611, US",60603,60611,11.86,2023-02-18 11:57:38,2023-02-18 12:07:58
UberX,TRIP,CANCELED,0.0,0.0,0,0.0,"E McFetridge Dr & E Solidarity Dr, Chicago, IL 60605, US","1152 S Lake Shore Dr, Chicago, IL 60605, US",60605,60605,0.0,2023-02-18 11:55:05,2023-02-18 11:55:05
UberX,TRIP,COMPLETED,3.0,0.0,597,1.1,"S Michigan Ave, Chicago, IL 60605-2301, US","S Dusable Lake Shore Dr, Chicago, IL 60605, US",60605,60605,6.61,2023-02-18 11:31:42,2023-02-18 11:41:39
UberXL,TRIP,COMPLETED,5.0,0.0,816,2.6,"W Jackson Blvd, Chicago, IL 60661-5707, US","S Lake Shore Dr, Chicago, IL 60605, US",60661,60605,14.32,2023-02-18 11:12:54,2023-02-18 11:26:30
UberX,TRIP,COMPLETED,0.0,2.75,587,2.1,"N Dearborn St, Chicago, IL 60654-4886, US","S Canal St, Chicago, IL 60606, US",60654,60606,7.2,2023-02-18 11:03:01,2023-02-18 11:12:48
UberXL,TRIP,COMPLETED,5.0,0.0,331,1.2,"N Wells St, Chicago, IL 60610-1907, US","W Kinzie St, Chicago, IL 60654, US",60610,60654,10.9,2023-02-18 10:42:11,2023-02-18 10:47:42
Connect Express,TRIP,COMPLETED,5.0,0.0,610,1.5,"W North Ave, Chicago, IL 60642, US","N Crilly Ct, Chicago, IL 60614-5703, US",60642,60614,10.85,2023-02-18 10:21:12,2023-02-18 10:31:22
UberX,TRIP,COMPLETED,0.0,0.0,672,2.6,"N Wells St, Chicago, IL 60654, US","W Armitage Ave, Chicago, IL 60614, US",60654,60614,4.42,2023-02-18 10:15:31,2023-02-18 10:26:43
UberX Share,CT,COMPLETED,0.0,1.0,316,1.4,"W Grand Ave, Chicago, IL 60642-6444, US","W Ontario St, Chicago, IL 60654, US",60642,60654,4.87,2023-02-18 10:01:56,2023-02-18 10:07:12
UberX,TRIP,COMPLETED,0.0,3.25,988,4.9,"N Central Park Ave, Chicago, IL 60647-4705, US","W Lake St, Chicago, IL 60607-1714, US",60647,60607,9.2,2023-02-18 09:44:05,2023-02-18 10:00:33
UberX Share,CT,COMPLETED,0.0,1.5,691,3.8,"S Western Ave, Chicago, IL 60620-5930, US","S Normal Blvd, Chicago, IL 60621-2536, US",60620,60621,8.5,2023-02-14 20:30:23,2023-02-14 20:41:54
UberX,TRIP,COMPLETED,0.0,2.25,795,5.7,"W 89th St, Chicago, IL 60620-4982, US","7601 S Cicero Ave Ste 1240, Chicago, IL 60652, US",60620,60652,12.96,2023-02-14 20:03:13,2023-02-14 20:16:28
UberX,TRIP,COMPLETED,0.0,4.25,1473,6.1,"E 53rd St, Chicago, IL 60615, US","S Michigan Ave, Chicago, IL 60619, US",60615,60619,17.24,2023-02-14 18:54:44,2023-02-14 19:19:17
UberX Share,CT,COMPLETED,4.24,0.0,3720,17.8,"W Devon Ave, Chicago, IL 60659, US","S Kimbark Ave, Chicago, IL 60615-4010, US",60659,60615,40.12,2023-02-14 17:55:55,2023-02-14 18:57:55
UberX,TRIP,COMPLETED,3.0,0.0,842,2.6,"Dodge Ave, Evanston, IL 60202, US","N Campbell Ave, Chicago, IL 60659-2810, US",60202,60659,8.19,2023-02-14 17:42:38,2023-02-14 17:56:40
UberX Share,CT,COMPLETED,0.0,0.0,963,3.6,"W Devon Ave, Chicago, IL 60659-2004, US","Howard St, Evanston, IL 60202, US",60659,60202,7.41,2023-02-14 17:06:58,2023-02-14 17:23:01
UberX,TRIP,COMPLETED,0.0,4.75,908,2.9,"N Marshfield Ave, Chicago, IL 60626, US","6254 N Western Ave, Chicago, IL 60659, US",60626,60659,9.21,2023-02-14 16:49:46,2023-02-14 17:04:54
UberX,TRIP,COMPLETED,0.0,2.75,1631,7.0,"S Indiana Ave, Chicago, IL 60653-3213, US","S Wood St, Chicago, IL 60620-4443, US",60653,60620,15.02,2023-02-22 18:08:01,2023-02-22 18:35:12
UberX Share,CT,COMPLETED,0.0,3.0,2636,11.5,"W Chicago Ave, Chicago, IL 60654-3206, US","S Union Ave, Chicago, IL 60609-5238, US",60654,60609,24.48,2023-02-22 17:10:36,2023-02-22 17:54:32
UberX,TRIP,COMPLETED,0.0,1.75,1269,4.6,"N Campbell Ave, Chicago, IL 60622-1754, US","E Walton St, Chicago, IL 60611, US",60622,60611,11.48,2023-02-22 16:39:10,2023-02-22 17:00:19
UberX,TRIP,COMPLETED,4.04,3.0,2544,13.4,"W 64th St, Chicago, IL 60636, US","W Lyndale St, Chicago, IL 60647-2908, US",60636,60647,24.53,2023-02-22 15:44:28,2023-02-22 16:26:52
UberX,TRIP,COMPLETED,0.0,1.5,1072,4.4,"E 60th St, Chicago, IL 60637-2506, US","W 63rd St, Chicago, IL 60629-1203, US",60637,60629,10.19,2023-02-22 15:34:54,2023-02-22 15:52:46
UberX Share,CT,COMPLETED,0.0,0.0,1743,12.3,"N Spaulding Ave, Chicago, IL 60647-3735, US","S Carpenter St, Chicago, IL 60609-6045, US",60647,60609,17.67,2023-02-22 14:11:14,2023-02-22 14:40:17
